web-scraper-order,web-scraper-start-url,name,typeImage-src,categoryImage-src,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact,accuracy,zMove,zMovePower,zMoveUpgradeEffect,zMoveUgradeEffectDetailed
"1597855324-1496","https://www.serebii.net//attackdex-sm/iondeluge.shtml","Ion Deluge","/pokedex-bw/type/electric.gif","/pokedex-bw/type/other.png","0","The user disperses electrically charged particles, which changes Normal-type moves to Electric-type moves.","Changes target's Normal-type move to Electric-type.","-- %","1","None","Field","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854723-1199","https://www.serebii.net//attackdex-sm/strugglebug.shtml","Struggle Bug","/pokedex-bw/type/bug.gif","/pokedex-bw/type/special.png","50","While resisting, the user attacks the opposing Pokémon. This lowers the Sp. Atk stat of those hit.","May lower opponent's Special Attack one stage.","100 %","0","4.17%","All Adjacent Foes","No","100","Savage Spin-Out","100","Savage Spin-Out","null"
"1597854698-1187","https://www.serebii.net//attackdex-sm/surf.shtml","Surf","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","90","The user attacks everything around it by swamping its surroundings with a giant wave.","May damage diving opponents","-- %","0","4.17%","All Adjacent Pokémon","No","100","Hydro Vortex","175","Hydro Vortex","null"
"1597855591-1629","https://www.serebii.net//attackdex-sm/falseswipe.shtml","False Swipe","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","40","A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.","Leaves the foe with at least 1 HP.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855456-1562","https://www.serebii.net//attackdex-sm/growth.shtml","Growth","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user's body grows all at once, raising the Attack and Sp. Atk stats.","Raises user's Attack & Special Attack one stage","-- %","0","None","Self","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854966-1319","https://www.serebii.net//attackdex-sm/revenge.shtml","Revenge","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","60","This attack move's power is doubled if the user has been hurt by the opponent in the same turn.","Power doubles if user was hit before using the Attack.","-- %","-4","4.17%","Selected Target","Yes","100","All-Out Pummeling","120","All-Out Pummeling","null"
"1597854950-1311","https://www.serebii.net//attackdex-sm/rocksmash.shtml","Rock Smash","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","40","The user attacks with a punch. This may also lower the target's Defense stat.","May lower opponent's Defense one stage.","50 %","0","4.17%","Selected Target","Yes","100","All-Out Pummeling","100","All-Out Pummeling","null"
"1597855770-1718","https://www.serebii.net//attackdex-sm/confusion.shtml","Confusion","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","50","The target is hit by a weak telekinetic force. This may also confuse the target.","May induce Confusion","10 %","0","4.17%","Selected Target","No","100","Shattered Psyche","100","Shattered Psyche","null"
"1597855502-1585","https://www.serebii.net//attackdex-sm/furyattack.shtml","Fury Attack","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","15","The target is jabbed repeatedly with a horn or beak two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","Yes","85","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854767-1221","https://www.serebii.net//attackdex-sm/spite.shtml","Spite","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/other.png","0","The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.","Opponent's last move loses 4 PP.","-- %","0","None","Selected Target","No","100","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597855825-1745","https://www.serebii.net//attackdex-sm/bugbuzz.shtml","Bug Buzz","/pokedex-bw/type/bug.gif","/pokedex-bw/type/special.png","90","The user generates a damaging sound wave by vibration. This may also lower the target's Sp. Def stat.","May lower opponent's Special Defense one stage.","10 %","0","4.17%","Selected Target","No","100","Savage Spin-Out","175","Savage Spin-Out","null"
"1597855446-1557","https://www.serebii.net//attackdex-sm/guillotine.shtml","Guillotine","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","1","A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.","May cause one-hit KO.","-- %","0","4.17%","Selected Target","Yes","30","Breakneck Blitz","180","Breakneck Blitz","null"
"1597854694-1185","https://www.serebii.net//attackdex-sm/swallow.shtml","Swallow","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.","Absorbs power from STOCKPILE and recovers HP.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854697-1186","https://www.serebii.net//attackdex-sm/swagger.shtml","Swagger","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user enrages and confuses the target. However, this also sharply raises the target's Attack stat.","Induces Confusion. Raises opponent's Attack two stages.","-- %","0","None","Selected Target","No","85","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854797-1236","https://www.serebii.net//attackdex-sm/solarblade.shtml","Solar Blade","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","125","In this two-turn attack, the user gathers light and fills a blade with the light's energy, attacking the target on the next turn.","Charges for the first turn, damages on the second. If Sunny Day is in effect, the charge and attack is in the same turn.","-- %","0","4.17%","Selected Target","Yes","100","Bloom Doom","190","Bloom Doom","null"
"1597855646-1656","https://www.serebii.net//attackdex-sm/dynamicpunch.shtml","Dynamic Punch","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","100","The user punches the target with full, concentrated power. This confuses the target if it hits.","May induce Confusion","100 %","0","4.17%","Selected Target","Yes","50","All-Out Pummeling","180","All-Out Pummeling","null"
"1597855326-1497","https://www.serebii.net//attackdex-sm/instruct.shtml","Instruct","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user instructs the target to use the target's last move again.","Causes target to use their last move again","-- %","0","None","Selected Target","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854551-1114","https://www.serebii.net//attackdex-sm/whirlwind.shtml","Whirlwind","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","Ends wild battles.","-- %","-6","None","Selected Target","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855827-1746","https://www.serebii.net//attackdex-sm/bugbite.shtml","Bug Bite","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","60","The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.","Removes target's Berry and uses its effect","-- %","0","4.17%","Selected Target","Yes","100","Savage Spin-Out","120","Savage Spin-Out","null"
"1597854825-1249","https://www.serebii.net//attackdex-sm/sludgebomb.shtml","Sludge Bomb","/pokedex-bw/type/poison.gif","/pokedex-bw/type/special.png","90","Unsanitary sludge is hurled at the target. This may also poison the target.","May induce poison.","30 %","0","4.17%","Selected Target","No","100","Acid Downpour","175","Acid Downpour","null"
"1597854529-1103","https://www.serebii.net//attackdex-sm/wrap.shtml","Wrap","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","15","A long body, vines, or the like are used to wrap and  squeeze the target for four to five turns.","Traps opponent.","100 %","0","4.17%","Selected Target","Yes","90","Breakneck Blitz","100","Breakneck Blitz","null"
"1597855029-1349","https://www.serebii.net//attackdex-sm/psychocut.shtml","Psycho Cut","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/physical.png","70","The user tears at the target with blades formed by psychic power. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","No","100","Shattered Psyche","140","Shattered Psyche","null"
"1597854983-1326","https://www.serebii.net//attackdex-sm/reflecttype.shtml","Reflect Type","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user reflects the target's type, making it the same type as the target.","Makes opponent's type match user","-- %","0","None","Selected Target","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854703-1189","https://www.serebii.net//attackdex-sm/supersonic.shtml","Supersonic","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user generates odd sound waves from its body that confuse the target.","Induces Confusion","-- %","0","None","Selected Target","No","55","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855714-1690","https://www.serebii.net//attackdex-sm/defog.shtml","Defog","/pokedex-bw/type/flying.gif","/pokedex-bw/type/other.png","0","A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.","Lowers opponent's Evasion one level.","-- %","0","None","Selected Target","No","0","null","null","Accuracy ↥","Boosts Accuracy by 1 stage"
"1597855694-1680","https://www.serebii.net//attackdex-sm/dizzypunch.shtml","Dizzy Punch","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","70","The target is hit with rhythmically launched punches. This may also leave the target confused.","May induce Confusion","20 %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","140","Breakneck Blitz","null"
"1597855316-1492","https://www.serebii.net//attackdex-sm/judgment.shtml","Judgment","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","100","The user releases countless shots of light at the target. This move's type varies depending on the kind of Plate the user is holding.","Changes the type of the move based upon the item being held","-- %","0","4.17%","Selected Target","No","100","Breakneck Blitz","180","Breakneck Blitz","null"
"1597855632-1649","https://www.serebii.net//attackdex-sm/electrify.shtml","Electrify","/pokedex-bw/type/electric.gif","/pokedex-bw/type/other.png","0","If the target is electrified before it uses a move during that turn, the target's move becomes Electric type.","Causes target's moves to become Electric-type for this turn","-- %","0","None","Selected Target","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854579-1128","https://www.serebii.net//attackdex-sm/vinewhip.shtml","Vine Whip","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","45","The target is struck with slender, whiplike vines to inflict damage.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Bloom Doom","100","Bloom Doom","null"
"1597855718-1692","https://www.serebii.net//attackdex-sm/defendorder.shtml","Defend Order","/pokedex-bw/type/bug.gif","/pokedex-bw/type/other.png","0","The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats.","Raises user's Defense and Special Defense one stage.","-- %","0","None","Self","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597854956-1314","https://www.serebii.net//attackdex-sm/rockclimb.shtml","Rock Climb","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","90","The user attacks the target by smashing into it with incredible force. This may also confuse the target.","May induce Confusion","20 %","0","4.17%","Selected Target","Yes","85","Breakneck Blitz","175","Breakneck Blitz","null"
"1597855848-1756","https://www.serebii.net//attackdex-sm/boomburst.shtml","Boomburst","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","140","The user attacks everything around it with the destructive power of a terrible, explosive sound.","No effect.","-- %","0","4.17%","All Adjacent Pokémon","No","100","Breakneck Blitz","200","Breakneck Blitz","null"
"1597855372-1520","https://www.serebii.net//attackdex-sm/hydrovortex.shtml","Hydro Vortex","/pokedex-bw/type/water.gif","/pokedex-bw/type/physical.png","1","The user creates a huge whirling current using its Z-Power to swallow the target with full force. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855384-1526","https://www.serebii.net//attackdex-sm/horndrill.shtml","Horn Drill","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","1","The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.","May cause one-hit KO.","-- %","0","4.17%","Selected Target","Yes","30","Breakneck Blitz","180","Breakneck Blitz","null"
"1597854567-1122","https://www.serebii.net//attackdex-sm/waterpledge.shtml","Water Pledge","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","80","A column of water strikes the target. When combined with its fire equivalent, its power increases and a rainbow appears.","If combined with Fire Oath, increases likelihood of Secondary Effects by 30% for four turns.","-- %","0","4.17%","Selected Target","No","100","Hydro Vortex","160","Hydro Vortex","null"
"1597855234-1451","https://www.serebii.net//attackdex-sm/matblock.shtml","Mat Block","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/other.png","0","Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves.","Protects user and allies from damage if move is used in first turn the user has been out.","-- %","0","None","Ally","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855276-1472","https://www.serebii.net//attackdex-sm/lightofruin.shtml","Light of Ruin","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/special.png","140","Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot.","User receives half the damage inflicted in recoil","-- %","0","4.17%","Selected Target","No","90","Twinkle Tackle","200","Twinkle Tackle","null"
"1597855390-1529","https://www.serebii.net//attackdex-sm/holdhands.shtml","Hold Hands","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user and an ally hold hands. This makes them very happy.","No effect.","-- %","0","None","Adjacent Ally","No","0","null","null","Stats ↥","Boosts all stats by 1 stage"
"1597854927-1300","https://www.serebii.net//attackdex-sm/sacredsword.shtml","Sacred Sword","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","90","The user attacks by slicing with a long horn. The target's stat changes don't affect this attack's damage.","Ignores stat changes","-- %","0","4.17%","Selected Target","Yes","100","All-Out Pummeling","175","All-Out Pummeling","null"
"1597855458-1563","https://www.serebii.net//attackdex-sm/growl.shtml","Growl","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stat.","Lowers opponent's Attack one stage.","-- %","0","None","All Adjacent Foes","No","100","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855110-1389","https://www.serebii.net//attackdex-sm/payback.shtml","Payback","/pokedex-bw/type/dark.gif","/pokedex-bw/type/physical.png","50","The user stores power, then attacks. If the user moves after the target, this attack's power will be doubled.","Doubles damage if user moves after target","-- %","0","4.17%","Selected Target","Yes","100","Black Hole Eclipse","100","Black Hole Eclipse","null"
"1597854660-1168","https://www.serebii.net//attackdex-sm/tectonicrage.shtml","Tectonic Rage","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","1","The user burrows deep into the ground and slams into the target with the full force of its Z-Power. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855674-1670","https://www.serebii.net//attackdex-sm/dragonbreath.shtml","Dragon Breath","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/special.png","60","The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.","May induce paralysis.","30 %","0","4.17%","Selected Target","No","100","Devastating Drake","120","Devastating Drake","null"
"1597855779-1722","https://www.serebii.net//attackdex-sm/coil.shtml","Coil","/pokedex-bw/type/poison.gif","/pokedex-bw/type/other.png","0","The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.","Raises Attack, Defense & Accuracy one stage.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855648-1657","https://www.serebii.net//attackdex-sm/dualchop.shtml","Dual Chop","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/physical.png","40","The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.","Attacks twice in a row.","-- %","0","4.17%","Selected Target","Yes","90","Devastating Drake","100","Devastating Drake","null"
"1597855652-1659","https://www.serebii.net//attackdex-sm/drillpeck.shtml","Drill Peck","/pokedex-bw/type/flying.gif","/pokedex-bw/type/physical.png","80","A corkscrewing attack with a sharp beak acting as a drill.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Supersonic Skystrike","160","Supersonic Skystrike","null"
"1597855080-1374","https://www.serebii.net//attackdex-sm/poisonjab.shtml","Poison Jab","/pokedex-bw/type/poison.gif","/pokedex-bw/type/physical.png","80","The target is stabbed with a tentacle or arm steeped in poison. This may also poison the target.","May induce poison.","30 %","0","4.17%","Selected Target","Yes","100","Acid Downpour","160","Acid Downpour","null"
"1597854686-1181","https://www.serebii.net//attackdex-sm/switcheroo.shtml","Switcheroo","/pokedex-bw/type/dark.gif","/pokedex-bw/type/other.png","0","The user trades held items with the target faster than the eye can follow.","Switches items with the opponent","-- %","0","None","Selected Target","No","100","null","null","Speed ↥↥","Boosts Speed by 2 stages"
"1597854777-1226","https://www.serebii.net//attackdex-sm/spikecannon.shtml","Spike Cannon","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","20","Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","No","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854739-1207","https://www.serebii.net//attackdex-sm/stompingtantrum.shtml","Stomping Tantrum","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","75","Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.","Doubles damage if last move failed","-- %","0","4.17%","Selected Target","Yes","100","Tectonic Rage","140","Tectonic Rage","null"
"1597854745-1210","https://www.serebii.net//attackdex-sm/stockpile.shtml","Stockpile","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user charges up power and raises both its Defense and Sp. Def stats. The move can be used three times.","User stockpiles power for up to 3 turns. Raises Defense & Special Defense one stage until Stockpile is released.","-- %","0","None","Self","No","0","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597854743-1209","https://www.serebii.net//attackdex-sm/stokedsparksurfer.shtml","Stoked Sparksurfer","/pokedex-bw/type/electric.gif","/pokedex-bw/type/special.png","175","After obtaining Z-Power, the user, Alolan Raichu, attacks the target with full force. This move leaves the target with paralysis.","May induce paralysis.","100 %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855581-1624","https://www.serebii.net//attackdex-sm/fierydance.shtml","Fiery Dance","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","80","Cloaked in flames, the user dances and flaps its wings. This may also raise the user's Sp. Atk stat.","May raise user's Special Attack one stage","50 %","0","4.17%","Selected Target","No","100","Inferno Overdrive","160","Inferno Overdrive","null"
"1597855563-1615","https://www.serebii.net//attackdex-sm/fissure.shtml","Fissure","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","1","The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.","May cause one-hit KO.","-- %","0","4.17%","Selected Target","No","30","Tectonic Rage","180","Tectonic Rage","null"
"1597855322-1495","https://www.serebii.net//attackdex-sm/irondefense.shtml","Iron Defense","/pokedex-bw/type/steel.gif","/pokedex-bw/type/other.png","0","The user hardens its body's surface like iron, sharply raising its Defense stat.","Raises user's Defense two stages.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855124-1396","https://www.serebii.net//attackdex-sm/originpulse.shtml","Origin Pulse","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","110","The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.","No effect.","-- %","0","4.17%","All Adjacent Foes","No","85","Hydro Vortex","185","Hydro Vortex","null"
"1597854571-1124","https://www.serebii.net//attackdex-sm/wake-upslap.shtml","Wake-Up Slap","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","70","This attack inflicts big damage on a sleeping target. This also wakes the target up, however.","Heals the target from Sleep","-- %","0","4.17%","Selected Target","Yes","100","All-Out Pummeling","140","All-Out Pummeling","null"
"1597854626-1151","https://www.serebii.net//attackdex-sm/torment.shtml","Torment","/pokedex-bw/type/dark.gif","/pokedex-bw/type/other.png","0","The user torments and enrages the target, making it incapable of using the same move twice in a row.","Opponent cannot use the same move in a row.","-- %","0","None","Selected Target","No","100","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597854632-1154","https://www.serebii.net//attackdex-sm/thunderbolt.shtml","Thunderbolt","/pokedex-bw/type/electric.gif","/pokedex-bw/type/special.png","90","A strong electric blast crashes down on the target. This may also leave the target with paralysis.","May induce paralysis.","10 %","0","4.17%","Selected Target","No","100","Gigavolt Havoc","175","Gigavolt Havoc","null"
"1597854709-1192","https://www.serebii.net//attackdex-sm/sunsteelstrike.shtml","Sunsteel Strike","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","100","The user slams into the target with the force of a meteor. This move can be used on the target  regardless of its Abilities.","Ignores abilities","-- %","0","4.17%","Selected Target","Yes","100","Corkscrew Crash","180","Corkscrew Crash","null"
"1597855953-1808","https://www.serebii.net//attackdex-sm/aeroblast.shtml","Aeroblast","/pokedex-bw/type/flying.gif","/pokedex-bw/type/special.png","100","A vortex of air is shot at the target to inflict damage. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","No","95","Supersonic Skystrike","180","Supersonic Skystrike","null"
"1597854593-1135","https://www.serebii.net//attackdex-sm/uproar.shtml","Uproar","/pokedex-bw/type/normal.gif","/pokedex-bw/type/special.png","90","The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep.","Hits for 3 turns. No Pokémon can be Asleep during that time.","-- %","0","4.17%","Random Target","No","100","Breakneck Blitz","175","Breakneck Blitz","null"
"1597855500-1584","https://www.serebii.net//attackdex-sm/furycutter.shtml","Fury Cutter","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","40","The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.","Move's power raises next turn if the move is successful.","-- %","0","4.17%","Selected Target","Yes","95","Savage Spin-Out","100","Savage Spin-Out","null"
"1597855412-1540","https://www.serebii.net//attackdex-sm/heartstamp.shtml","Heart Stamp","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/physical.png","60","The user unleashes a vicious blow after its cute act makes the target less wary. This may also make the target flinch.","May cause opponent to flinch.","30 %","0","4.17%","Selected Target","Yes","100","Shattered Psyche","120","Shattered Psyche","null"
"1597854595-1136","https://www.serebii.net//attackdex-sm/u-turn.shtml","U-turn","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","70","After making its attack, the user rushes back to switch places with a party Pokémon in waiting.","Pokémon switches out from battle","-- %","0","4.17%","Selected Target","Yes","100","Savage Spin-Out","140","Savage Spin-Out","null"
"1597855162-1415","https://www.serebii.net//attackdex-sm/multi-attack.shtml","Multi-Attack","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","90","Cloaking itself in high energy, the user slams into the target. The memory held determines the move's type.","Changes the type of the move based upon the item being held","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","185","Breakneck Blitz","null"
"1597855897-1780","https://www.serebii.net//attackdex-sm/banefulbunker.shtml","Baneful Bunker","/pokedex-bw/type/poison.gif","/pokedex-bw/type/other.png","0","In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.","Inflicts Poison if target makes physical contact","-- %","4","None","Self","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855198-1433","https://www.serebii.net//attackdex-sm/mindreader.shtml","Mind Reader","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user senses the target's movements with its mind to ensure its next attack does not miss the target.","Ensures that user's next move will not fail.","-- %","0","None","Selected Target","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597855482-1575","https://www.serebii.net//attackdex-sm/geomancy.shtml","Geomancy","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/other.png","0","The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn.","On the second turn, raises Special Attack, Special Defense & Speed two stages","-- %","0","None","Self","No","0","null","null","Stats ↥","Boosts all stats by 1 stage"
"1597854751-1213","https://www.serebii.net//attackdex-sm/steamroller.shtml","Steamroller","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","65","The user crushes its target by rolling over the target with its rolled-up body. This may also make the target flinch.","May cause opponent to flinch.","30 %","0","4.17%","Selected Target","Yes","100","Savage Spin-Out","120","Savage Spin-Out","null"
"1597855444-1556","https://www.serebii.net//attackdex-sm/gunkshot.shtml","Gunk Shot","/pokedex-bw/type/poison.gif","/pokedex-bw/type/physical.png","120","The user shoots filthy garbage at the target to attack. This may also poison the target.","May induce poison.","30 %","0","4.17%","Selected Target","No","80","Acid Downpour","190","Acid Downpour","null"
"1597855704-1685","https://www.serebii.net//attackdex-sm/dig.shtml","Dig","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","80","The user burrows, then attacks on the next turn.","The user is protected the first turn, Attacks the second turn.","-- %","0","4.17%","Selected Target","Yes","100","Tectonic Rage","160","Tectonic Rage","null"
"1597855009-1339","https://www.serebii.net//attackdex-sm/quickattack.shtml","Quick Attack","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","40","The user lunges at the target at a speed that makes it almost invisible. This move always goes first.","Has increased Speed Priority","-- %","1","4.17%","Selected Target","Yes","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854541-1109","https://www.serebii.net//attackdex-sm/wish.shtml","Wish","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","One turn after this move is used, the user's or its replacement's HP is restored by half the user's max HP.","In 1 turn, it heals whatever Pokémon is in this position on the field's Hit Points by 50% of the maximum Hit Points.","-- %","0","None","Self","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597854565-1121","https://www.serebii.net//attackdex-sm/waterpulse.shtml","Water Pulse","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","60","The user attacks the target with a pulsing blast of water. This may also confuse the target.","May induce Confusion","20 %","0","4.17%","Selected Target","No","100","Hydro Vortex","120","Hydro Vortex","null"
"1597854973-1322","https://www.serebii.net//attackdex-sm/retaliate.shtml","Retaliate","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","70","The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this move's power is increased.","If a team-mate has been knocked out in the turn before this Pokémon moves, the power is increased by 100%.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","140","Breakneck Blitz","null"
"1597855128-1398","https://www.serebii.net//attackdex-sm/odorsleuth.shtml","Odor Sleuth","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.","Allows opponent to be hit if Evasion is high. Allows Ghost-type Pokémon to be hit by Normal-type moves.","-- %","0","None","Selected Target","No","0","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597855164-1416","https://www.serebii.net//attackdex-sm/muddywater.shtml","Muddy Water","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","90","The user attacks by shooting muddy water at the opposing Pokémon. This may also lower their accuracy.","May lower opponent's Accuracy one stage.","30 %","0","4.17%","All Adjacent Foes","No","85","Hydro Vortex","175","Hydro Vortex","null"
"1597855748-1707","https://www.serebii.net//attackdex-sm/counter.shtml","Counter","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","1","A retaliation move that counters any physical attack, inflicting double the damage taken.","If hit by a physical Attack, deals double the damage received.","-- %","-5","4.17%","Special","Yes","100","All-Out Pummeling","100","All-Out Pummeling","null"
"1597854964-1318","https://www.serebii.net//attackdex-sm/reversal.shtml","Reversal","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","1","An all-out attack that becomes more powerful the less HP the user has.","Inflicts more damage when the user's HP is down.","-- %","0","4.17%","Selected Target","Yes","100","All-Out Pummeling","160","All-Out Pummeling","null"
